ISBN,title,author,price,category,availability,source
0195153448,Classical Mythology,Mark P. O. Morford,,,,csv
0002005018,Clara Callan,Richard Bruce Wright,,,,csv
0060973129,Decision in Normandy,Carlo D'Este,,,,csv
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,,,,csv
0393045218,The Mummies of Urumchi,E. J. W. Barber,,,,csv
0399135782,The Kitchen God's Wife,Amy Tan,,,,csv
0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,,,,csv
0671870432,PLEADING GUILTY,Scott Turow,,,,csv
0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,,,,csv
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,,,,csv
0771074670,Nights Below Station Street,David Adams Richards,,,,csv
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,,,,csv
0887841740,The Middle Stories,Sheila Heti,,,,csv
1552041778,Jane Doe,R. J. Kaiser,,,,csv
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,,,,csv
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,,,,csv
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,,,,csv
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,,,,csv
0440234743,The Testament,John Grisham,,,,csv
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,,,,csv
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,,,,csv
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,,,,csv
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,,,,csv
0061076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,,,,csv
0439095026,Tell Me This Isn't Happening,Robynn Clairday,,,,csv
0689821166,Flood : Mississippi 1927,Kathleen Duey,,,,csv
0971880107,Wild Animus,Rich Shapero,,,,csv
0345402871,Airframe,Michael Crichton,,,,csv
0345417623,Timeline,MICHAEL CRICHTON,,,,csv
0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,,,,csv
0375759778,Prague : A Novel,ARTHUR PHILLIPS,,,,csv
0425163091,Chocolate Jesus,Stephan Jaramillo,,,,csv
3404921038,Wie Barney es sieht.,Mordecai Richler,,,,csv
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,,,,csv
3442410665,Sturmzeit. Roman.,Charlotte Link,,,,csv
3442446937,Tage der Unschuld.,Richard North Patterson,,,,csv
0375406328,Lying Awake,Mark Salzman,,,,csv
0446310786,To Kill a Mockingbird,Harper Lee,,,,csv
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,,,,csv
0060168013,Pigs in Heaven,Barbara Kingsolver,,,,csv
038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,,,,csv
055321215X,Pride and Prejudice,Jane Austen,,,,csv
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,,,,csv
0061099686,Downtown,Anne Rivers Siddons,,,,csv
0553582909,Icebound,Dean R. Koontz,,,,csv
0671888587,I'll Be Seeing You,Mary Higgins Clark,,,,csv
0553582747,From the Corner of His Eye,Dean Koontz,,,,csv
0425182908,Isle of Dogs,Patricia Cornwell,,,,csv
042518630X,Purity in Death,J.D. Robb,,,,csv
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,,,,csv
0812523873,Proxies,Laura J. Mixon,,,,csv
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,,,,csv
0440225701,The Street Lawyer,JOHN GRISHAM,,,,csv
0060914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,,,,csv
0156047624,All the King's Men,Robert Penn Warren,,,,csv
0245542957,Pacific Northwest,Hans Johannes Hoefer,,,,csv
0380715899,A Soldier of the Great War,Mark Helprin,,,,csv
